Year, Baseline: Based on- IEA ETP 2016 6DS, Baseline: Based on- AMPERE MESSAGE-MACRO Reference, Baseline: Based on- AMPERE GEM E3 Reference, Baseline: Based on- AMPERE IMAGE/TIMER Reference, Conservative: Based on- IEA ETP 2016 4DS, Conservative: Based on- AMPERE MESSAGE-MACRO 550, Conservative: Based on- AMPERE GEM E3 550, Conservative: Based on- AMPERE IMAGE/TIMER 550, Conservative: Based on- Greenpeace 2015 Reference, Ambitious: Based on- IEA ETP 2016 2DS, Ambitious: Based on- AMPERE MESSAGE-MACRO 450, Ambitious: Based on- AMPERE GEM E3 450, Ambitious: Based on- AMPERE IMAGE/TIMER 450, Ambitious: Based on- Greenpeace Energy [R]evolution, 100% REN: Based on- Greenpeace Advanced [R]evolution
2037, 3284.18298048119, 5680.92473109203, 4447.48334818804, 4478.32999603901, 3104.43961435336, 5690.02989694038, 4432.43898119794, 3992.79293644717, 3988.79927215228, 2821.76720941319, 5832.32238964686, 4124.03199513589, 3647.67102905441, 4570.18140747471, 5800.03005558604
2038, 3370.47470906258, 5899.29637879247, 4610.14043550551, 4684.32815488226, 3180.61893228889, 5919.37644011389, 4588.15212528820, 4169.48777863589, 4098.92779639265, 2887.05686748450, 6090.52650058558, 4275.63273027711, 3796.97623332958, 4786.57642352553, 6146.28959217765
2039, 3456.81626400265, 6122.66903914118, 4780.20671575657, 4899.09624413537, 3256.84007251502, 6155.54211667082, 4748.60003615602, 4353.20057430404, 4209.23763976623, 2952.38066912407, 6358.18915087756, 4435.09117216024, 3952.94165783424, 5011.11247623457, 6505.69876052678
2040, 3543.19248549315, 6355.13091158855, 4921.26646667949, 5172.02551883205, 3333.08892515727, 6414.24621218031, 4901.56777730793, 4566.11451813627, 4329.44384966545, 3017.72595076097, 6591.37115046642, 4639.59655970285, 4168.47477785553, 5273.67493687820, 6967.31213806876
2041, 3638.55110475857, 6584.39289194595, 5143.99142263750, 5355.89874553723, 3416.99209407688, 6648.78076764550, 5084.13838189062, 4742.21963812152, 4429.86860862756, 3092.99992400687, 6922.74388180156, 4779.16236957871, 4285.72330412172, 5484.74214432931, 7263.49682300011
2042, 3733.95119301148, 6822.77812321823, 5338.46540822041, 5598.45161247071, 3500.92905633065, 6906.12706107936, 5259.48645761433, 4947.83010499112, 4539.95094548634, 3168.30387213412, 7220.11370090646, 4964.60699352077, 4463.00813082102, 5733.93456306142, 7661.69051162906
2043, 3829.38825359480, 7066.20206729219, 5541.83577906248, 5850.78732240852, 3584.89579709473, 7170.80867090375, 5440.06081371992, 5161.04554109221, 4649.71507177646, 3243.63418580446, 7527.86631179337, 5159.55084921498, 4647.87080527275, 5991.44000925872, 8072.61060809534
2044, 3924.85836654523, 7314.68336292019, 5754.48830824008, 6113.17001294678, 3668.88884666613, 7442.96583491812, 5625.99379092008, 5382.02100671325, 4759.03750516585, 3318.98774953585, 7846.24551533869, 5364.41837433076, 4840.55033544548, 6257.30234772126, 8496.15126582370
2045, 4020.35887762853, 7568.24014599593, 5976.81096266682, 6385.86481542493, 3752.90591918626, 7722.73903903206, 5817.41820327119, 5610.91189958852, 4867.79613022716, 3394.36251886701, 8175.49584865655, 5579.63645796894, 5041.28680959801, 6531.56691191200, 8932.20824990224
2046, 4123.66030226700, 7826.88601608027, 6209.19064430472, 6669.13437575971, 3840.26307623293, 8010.26486954712, 6014.46421947194, 5847.87091551128, 4975.86803277485, 3474.17965871859, 8515.85815889717, 5805.63138277086, 5250.31865239068, 6814.27772145072, 9380.67522271190
2047, 4226.99522817693, 8090.63444889963, 6452.01656509924, 6963.24243652993, 3927.64446260109, 8305.68045938681, 6217.26273373483, 6093.05122569966, 5083.13430052423, 3554.01933872896, 8867.57424009006, 6042.83194971358, 5467.88546704091, 7105.48408252880, 9841.45286515149
