year,Insulation (Residential Only),Cool Roofs,Green Roofs,High Performance Glass-Residential Model,High Performance Glass- Commercial Model,Dynamic Glass (Commercial Only),Building Automation (Commercial Only),Smart Thermostats (Residential Only),Heat Pumps,District Heat,Residential LED (Excludes Commercial LED),Commercial LED (Excludes Household LED),Water Saving - Home (WaSH),Solar Hot Water (SHW),Biogas for Cooking,Clean Cookstoves
2040,132522.63792668,17229395652.52450000,1159199434.16895000,140104.35680298,57078.52553100,3248.95752381,44172.31731654,770.63333333,1210.09750293,751.86543582,29.80019310,112.13748350,103385.07142457,715.28352327,265.66836489,4528.37602916
2041,135509.72978480,18465008179.49890000,1262538100.10082000,143935.19264966,60214.53982096,3274.76502903,45515.44338470,829.22000000,1245.82794714,769.87702899,31.09659115,116.85033520,106752.83245877,725.98759999,271.86186753,4619.04019172
2042,138459.84227013,19786006224.00380000,1373871160.69548000,147689.01030375,63283.64875354,3300.03296878,46857.36461956,889.96000000,1269.80712448,797.52529457,32.39298920,121.56318690,110129.84704741,736.69167672,278.05537018,4709.70435428
2043,141373.30634164,22722846281.88570000,1689915502.62246000,151367.51116551,66390.70188247,3324.73556612,48190.66640058,952.85333333,1292.88405945,824.64719973,33.68938725,126.27603859,113561.69208520,747.39575344,284.24887282,4800.36851685
2044,144250.34585812,25696480113.44180000,2010507383.57054000,154972.24753792,69536.00541293,3348.83889104,49508.45758595,1017.90000000,1315.11547662,851.15568630,34.98578530,130.98889029,117049.82377502,758.09983016,290.44237547,4891.03267941
2045,147091.21401669,28699223852.28330000,2335249947.99409000,158504.76028908,72719.84358463,3372.31437552,50804.79215959,1085.10000000,1337.97501791,876.25074445,36.28218335,135.70174199,120595.67286216,768.80390689,296.63587811,4981.69684198
2046,149896.33497661,31722536620.54190000,2663676005.44805000,161966.72166507,75942.50120040,3395.13600801,52075.38525792,1154.45333333,1357.26865574,901.98417097,37.57858140,140.41459368,124200.67382694,779.50798361,302.82938076,5072.36100454
2047,152666.13898400,34756988996.38350000,2995241557.50111000,165359.77157007,79204.21966464,3417.29038438,53318.42233721,1225.96000000,1377.30386680,926.13005274,38.87497945,145.12744538,127866.21395038,790.21206033,309.02288340,5163.02516710
2048,155400.87292253,37792235124.00960000,3329318936.03451000,168685.32923952,82505.17574963,3438.77739757,54535.03817046,1299.62000000,1396.72045825,949.31428323,40.17137750,149.84029707,131593.59617683,800.91613706,315.21638605,5253.68932967
2049,158100.73644216,40816989092.39290000,3665189547.86212000,171944.73045943,85845.50885533,3459.60531129,55729.05290763,1375.43333333,1415.57515466,971.44980428,41.46777555,154.55314877,135384.07028907,811.62021378,321.40988869,5344.35349223
2050,160765.97337479,43819006216.17350000,4002036223.26343000,175139.32004161,89294.43153231,3479.36602485,56914.75178644,1453.40000000,1447.55931614,988.46768734,42.76417360,159.26600047,139268.04488238,822.32429050,327.60339134,5435.01765480
2051,163397.11833231,46785069848.84430000,4338935169.12700000,178270.69945105,92644.98117795,3499.27489942,57985.21557119,1533.52000000,1451.82576053,1012.22648539,44.06057165,163.97885216,143159.78277894,833.02836722,333.79689399,5525.68181736
2052,165994.61356590,49700984343.31100000,4674847530.99472000,181340.34466538,96104.55853938,3518.08044087,59050.63478057,1615.79333333,1469.33511911,1030.69352910,45.35696970,168.69170386,147147.23255895,843.73244395,339.99039663,5616.34597992
2053,168558.52030114,52551574747.00740000,5008610572.41274000,184349.31848149,99604.26697921,3536.16984917,60099.28145215,1700.22000000,1486.50948085,1047.76363070,46.65336775,173.40455556,151202.78334651,854.43652067,346.18389928,5707.01014249
2054,171088.78684822,55320693777.05930000,5338928484.66513000,187298.53956975,103144.25652986,3553.51710308,61123.93925492,1786.80000000,1503.40557030,1063.34973201,47.94976580,178.11740725,155327.49480364,865.14059739,352.37740192,5797.67430505
2055,173585.59864887,57991236564.89180000,5664362845.22175000,190189.13343783,106724.69575005,3570.09728887,62112.17150141,1875.53333333,1530.60098704,1068.33169708,48.69651209,182.83025895,159522.48135073,875.84467412,358.57090457,5888.33846762
2056,176049.42807045,60545163588.84660000,5983322749.09739000,193022.48311571,110345.77541987,3585.89179285,63048.28829568,1966.42000000,1536.58983054,1089.72170108,48.91503538,187.54311065,163788.99730569,886.54875084,364.76440721,5979.00263018
2057,178481.16545421,62963532127.90660000,6294054643.81197000,195800.36106932,114007.72183504,3600.88201953,63916.38257758,2059.46000000,1552.99145044,1100.33345251,49.12768219,192.25596234,168128.37431564,897.25282756,370.95790986,6069.66679274
2058,180881.97185423,65226536470.02380000,6594631905.77393000,198524.78278018,117710.78495800,3615.04255218,64703.45365102,2154.65333333,1569.34169626,1109.11297098,49.33445251,196.96881404,172541.90256997,907.95690429,377.15141250,6160.33095531
2059,183253.25574116,66803906073.34250000,6777761305.68709000,201197.98426585,121455.23561275,3628.34609295,65401.60841968,2252.00000000,1585.69729256,1115.97319831,49.53534636,201.68166574,177030.89841920,918.66098101,383.34491515,6250.99511787
2060,185596.33905567,68409994743.59250000,6968828122.16713000,203822.08892676,125224.22615141,3640.97274548,66008.80065594,2351.50000000,1591.49221521,1127.25389680,49.73036372,206.39451743,181589.53720292,929.36505773,389.53841779,6341.65928044
