year,Lighting Demand - Residential - Case 1 - Average,Lighting Demand - Residential - Case 2 - High,Lighting Demand - Residential - Case 3 - Low,Lighting Demand - Residential - IEA 2006 per capita ratio of lighting demand,"Lighting Demand - Residential - IEA 2006 exponential fit between GDP, Population, and Lighting Demand",Lighting Demand- Residential - [Case 6],Lighting Demand - Commercial - Case 1 - Average,Lighting Demand - Commercial - Case 2 - High,Lighting Demand - Commercial - Case 3 - Low,Lighting Demand - Commercial -  IEA 2006 per capita ratio of lighting demand,Lighting Demand - Commercial - [Case 5],Lighting Demand - Commercial - [Case 6],Lighting Demand - Total - Case 1 - Average,Lighting Demand - Total - Case 2 - High,Lighting Demand - Total - Case 3 - Low,Lighting Demand - Total - IEA 2006 per capita ratio of lighting demanded,Lighting Demand - Total - [Case 5],Lighting Demand - Total - [Case 6]
2047,46.57582235,81.23568053,11.91596417,216.84283221,37.98495573,,182.57899217,240.09228824,125.06569610,127.80606241,,,229.15481452,321.32796878,136.98166027,344.64889461,,
2048,46.85938456,81.73025836,11.98851076,220.88044035,38.95034325,,187.97614442,247.18957045,128.76271838,129.17634469,,,234.83552897,328.91982881,140.75122914,350.05678504,,
2049,47.14017533,82.22000235,12.06034831,224.93714309,39.94305570,,193.45570555,254.39522077,132.51619034,130.52669644,,,240.59588088,336.61522312,144.57653865,355.46383953,,
2050,47.41817660,82.70488101,12.13147219,229.01184424,40.99476005,,199.13777426,261.86716954,136.40837897,131.85649368,,,246.55595086,344.57205055,148.53985116,360.86833792,,
2051,47.69342914,83.18496545,12.20189283,233.10368548,42.01473690,,204.66141433,269.13078388,140.19204479,133.16526794,,,252.35484347,352.31574933,152.39393762,366.26895342,,
2052,47.96595642,83.66029659,12.27161624,237.21170029,43.09597668,,210.38726372,276.66030448,144.11422297,134.45250452,,,258.35322014,360.32060107,156.38583921,371.66420481,,
2053,48.23570723,84.13078513,12.34062932,241.33459366,44.20910157,,216.19479788,284.29724095,148.09235481,135.71752075,,,264.43050510,368.42802608,160.43298413,377.05211441,,
2054,48.50260893,84.59630437,12.40891349,245.47096974,45.35541267,,222.08372699,292.04121219,152.12624178,136.95960009,,,270.58633592,376.63751656,164.53515527,382.43056983,,
2055,48.76663700,85.05681154,12.47646246,249.61971615,46.53627270,,228.05381178,299.89190357,156.21571999,138.17820673,,,276.82044879,384.94871511,168.69218246,387.79792288,,
2056,49.02782493,85.51236505,12.54328482,253.78000656,47.75310398,,234.10490053,307.84911556,160.36068551,139.37298046,,,283.13272547,393.36148061,172.90397033,393.15298702,,
2057,49.28629021,85.96316982,12.60941061,257.95158128,49.00737327,,240.23691518,315.91274550,164.56108487,140.54388314,,,289.52320540,401.87591532,177.17049547,398.49546442,,
2058,49.54220509,86.40952627,12.67488390,262.13468058,50.30058590,,246.44978950,324.08270632,168.81687269,141.69115016,,,295.99199459,410.49223259,181.49175659,403.82583074,,
2059,49.79579189,86.85182220,12.73976158,266.32996229,51.63428170,,252.74349307,332.35895800,173.12802814,142.81523557,,,302.53928496,419.21078020,185.86778972,409.14519785,,
2060,50.04725668,87.29041700,12.80409636,270.53799985,52.99586297,,259.08882013,340.70309483,177.47454543,143.91653612,,,309.13607681,427.99351184,190.27864179,414.45453597,,
