"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Thermal-Moisture Regime,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"REN21.(2018). China min  Capacity Factor. REN21. (2018). Renewables 2018 : Global Status Report. Paris, p-121. ",http://www.ren21.net/wp-content/uploads/2018/06/17-8652_GSR2018_FullReport_web_final_.pdf,China,,,2 - Public Sector/ Multilateral Agency,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Minimum for the region,False
"REN21.(2018). China max Capacity Factor. REN21. (2018). Renewables 2018 : Global Status Report. Paris, p-121. ",http://www.ren21.net/wp-content/uploads/2018/06/17-8652_GSR2018_FullReport_web_final_.pdf,China,,,2 - Public Sector/ Multilateral Agency,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Maximum for the region,False
"REN21.(2018). India min Capacity Factor. REN21. (2018). Renewables 2018 : Global Status Report. Paris, p-121. ",http://www.ren21.net/wp-content/uploads/2018/06/17-8652_GSR2018_FullReport_web_final_.pdf,India,,,2 - Public Sector/ Multilateral Agency,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Minimum for the region,False
"REN21.(2018). India maxCapacity Factor. REN21. (2018). Renewables 2018 : Global Status Report. Paris, p-121. ",http://www.ren21.net/wp-content/uploads/2018/06/17-8652_GSR2018_FullReport_web_final_.pdf,India,,,2 - Public Sector/ Multilateral Agency,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Maximum for the region,False
"REN21.(2018). US min Capacity Factor. REN21. (2018). Renewables 2018 : Global Status Report. Paris, p-121. ",http://www.ren21.net/wp-content/uploads/2018/06/17-8652_GSR2018_FullReport_web_final_.pdf,USA,,,2 - Public Sector/ Multilateral Agency,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Minimum for the region,False
"REN21.(2018). US max  Capacity Factor. REN21. (2018). Renewables 2018 : Global Status Report. Paris, p-121. ",http://www.ren21.net/wp-content/uploads/2018/06/17-8652_GSR2018_FullReport_web_final_.pdf,USA,,,2 - Public Sector/ Multilateral Agency,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Maximum for the region,False
Lazard. (Nov 2017). US max PV crystalline Capacity factor.Lazard. (2017). Lazard's Levelized Cost of Energy Analysis - Version 11.0. p-11,https://www.lazard.com/media/450337/lazard-levelized-cost-of-energy-version-110.pdf,USA,,,3 - For Profit,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Maximum for PV crystalline,False
Lazard. (Nov 2017). US min PV crystalline Capacity factor.Lazard. (2017). Lazard's Levelized Cost of Energy Analysis - Version 11.0. p-11,https://www.lazard.com/media/450337/lazard-levelized-cost-of-energy-version-110.pdf,USA,,,3 - For Profit,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Minimum for PV crystalline,False
Lazard. (Nov 2017). US max thin-film Capacity factor.Lazard. (2017). Lazard's Levelized Cost of Energy Analysis - Version 11.0. p-11,https://www.lazard.com/media/450337/lazard-levelized-cost-of-energy-version-110.pdf,USA,,,3 - For Profit,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Maximum for PV thinfilm,False
Lazard. (Nov 2017). US min thin-film Capacity factor.Lazard. (2017). Lazard's Levelized Cost of Energy Analysis - Version 11.0. p-11,https://www.lazard.com/media/450337/lazard-levelized-cost-of-energy-version-110.pdf,USA,,,3 - For Profit,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Minimum for PV thinfilm,False
"IRENA, (2018). Global weighted average Lifetime Capacity of SPV.IRENA. (2018). Power Generation Costs in 2017. Abu Dhabi: IRENA. p-154",https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2018/Jan/IRENA_2017_Power_Costs_2018.pdf,World,,,2 - Public Sector/ Multilateral Agency,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Global weighted average of utility-scale PV systems,False
"NREL, (2017). US assumed averageLifetime Capacity.NREL. (2017). SPV O & M Cost Model and Cost Reduction. Golden: NREL. s-17",https://www.nrel.gov/docs/fy17osti/68023.pdf,USA,,,2 - Public Sector/ Multilateral Agency,2017,,,Working Hours/year,0.0,TWh/TW/year,,General input for cost calculation,False
Lazard. (Nov 2018). US max for crystalline Capacity Factor.Lazard. (2018). Lazard's Levelized Cost of Energy Analysis - Version 12.0. p-11,https://www.lazard.com/media/450337/lazard-levelized-cost-of-energy-version-120.pdf,USA,,,3 - For Profit,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Maximum for crystalline utility scale,False
Lazard. (Nov 2018). US min for crystalline Capacity Factor.Lazard. (2018). Lazard's Levelized Cost of Energy Analysis - Version 12.0. p-11,https://www.lazard.com/media/450337/lazard-levelized-cost-of-energy-version-120.pdf,USA,,,3 - For Profit,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Minimum for crystalline utility scale,False
Lazard. (Nov 2018). US max for thin film Capacity Factor.Lazard. (2018). Lazard's Levelized Cost of Energy Analysis - Version 12.0. p-11,https://www.lazard.com/media/450337/lazard-levelized-cost-of-energy-version-120.pdf,USA,,,3 - For Profit,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Maximum for thin film utility scale,False
Lazard. (Nov 2018). US min for thin-film Capacity Factor.Lazard. (2018). Lazard's Levelized Cost of Energy Analysis - Version 12.0. p-11,https://www.lazard.com/media/450337/lazard-levelized-cost-of-energy-version-120.pdf,USA,,,3 - For Profit,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Minimum for thin film utility scale,False
