"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Thermal-Moisture Regime,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
IRENA (2017). Average Annual Use.IRENA. (2017c). IRENA Cost and Competitiveness Indicators : Rooftop Solar PV. Abu Dhabi: IRENA. Table 3,https://www.irena.org/publications/2017/Dec/IRENA-cost-and-competitiveness-indicators-Rooftop-solar-PV,EU,Germany/Cologne,,2 - Public Sector/ Multilateral Agency,2016,,,kWh/kW,0.0,TWh/TW/year,,,
IRENA (2017). Average Annual Use.IRENA. (2017c). IRENA Cost and Competitiveness Indicators : Rooftop Solar PV. Abu Dhabi: IRENA. Table 3,https://www.irena.org/publications/2017/Dec/IRENA-cost-and-competitiveness-indicators-Rooftop-solar-PV,EU,Germany/Hamburg,,2 - Public Sector/ Multilateral Agency,2016,,,kWh/kW,0.0,TWh/TW/year,,,
IRENA (2017). Average Annual Use.IRENA. (2017c). IRENA Cost and Competitiveness Indicators : Rooftop Solar PV. Abu Dhabi: IRENA. Table 3,https://www.irena.org/publications/2017/Dec/IRENA-cost-and-competitiveness-indicators-Rooftop-solar-PV,EU,Germany/Berlin,,2 - Public Sector/ Multilateral Agency,2016,,,kWh/kW,0.0,TWh/TW/year,,,
IRENA (2017). Average Annual Use.IRENA. (2017c). IRENA Cost and Competitiveness Indicators : Rooftop Solar PV. Abu Dhabi: IRENA. Table 3,https://www.irena.org/publications/2017/Dec/IRENA-cost-and-competitiveness-indicators-Rooftop-solar-PV,EU,Germany/Frankfurt,,2 - Public Sector/ Multilateral Agency,2016,,,kWh/kW,0.0,TWh/TW/year,,,
IRENA (2017). Average Annual Use.IRENA. (2017c). IRENA Cost and Competitiveness Indicators : Rooftop Solar PV. Abu Dhabi: IRENA. Table 3,https://www.irena.org/publications/2017/Dec/IRENA-cost-and-competitiveness-indicators-Rooftop-solar-PV,EU,Germany/Munich,,2 - Public Sector/ Multilateral Agency,2016,,,kWh/kW,0.0,TWh/TW/year,,,
"NREL, (2018). Lifetime WeightedCapacity. NREL. (2018). Annual Technology Baseline. Golden.",https://atb.nrel.gov/electricity/2018/index.html?t=su,USA,,,2 - Public Sector/ Multilateral Agency,2016,,,Capacity factor (%),0.0,TWh/TW/year,,Capacity-weighted average AC capacity factor for US projects till 2016 end,
"Bolinger et al, (2017). Min Capacity Factor.Bolinger, M. S. (2017). An Empirical Analysis of Project Cost, Performance, and Pricing Trends in the United States. LBNL. (p-iii)",http://eta-publications.lbl.gov/sites/default/files/utility-scale_solar_2016_report.pdf,USA,,,2 - Public Sector/ Multilateral Agency,2016,,,Capacity factor (%),0.0,TWh/TW/year,,Minimum of 260 projects of 2016,
"Bolinger et al, (2017). Max Capacity Factor.Bolinger, M. S. (2017). An Empirical Analysis of Project Cost, Performance, and Pricing Trends in the United States. LBNL. (p-iii)",http://eta-publications.lbl.gov/sites/default/files/utility-scale_solar_2016_report.pdf,USA,,,2 - Public Sector/ Multilateral Agency,2016,,,Capacity factor (%),0.0,TWh/TW/year,,Maximum of 260 projects of 2016,
"Bolinger et al, (2017). Median Capacity Factor.Bolinger, M. S. (2017). An Empirical Analysis of Project Cost, Performance, and Pricing Trends in the United States. LBNL. (p-iii)",http://eta-publications.lbl.gov/sites/default/files/utility-scale_solar_2016_report.pdf,USA,,,2 - Public Sector/ Multilateral Agency,2016,,,Capacity factor (%),0.0,TWh/TW/year,,Median of 260 projects of 2016,
Yadav. (2018) Annual Use.Yadav S K. (2018). Performance evaluation of a rooftop solar photovoltaic power plant in Northern India. Energy for Sustainable Development. doi:DOI: 10.1016/j.esd.2018.01.006,https://www.researchgate.net/publication/323219729_Performance_evaluation_of_a_rooftop_solar_photovoltaic_power_plant_in_Northern_India,India,,,1  - Peer Reviewed,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Annual average for Indian Rooftop plants studied,
Yadav. (2018) Annual Use.Yadav S K. (2018). Performance evaluation of a rooftop solar photovoltaic power plant in Northern India. Energy for Sustainable Development. doi:DOI: 10.1016/j.esd.2018.01.006,https://www.researchgate.net/publication/323219729_Performance_evaluation_of_a_rooftop_solar_photovoltaic_power_plant_in_Northern_India,India,,,1  - Peer Reviewed,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Minimum range for rooftop in India,
Yadav. (2018) Annual Use.Yadav S K. (2018). Performance evaluation of a rooftop solar photovoltaic power plant in Northern India. Energy for Sustainable Development. doi:DOI: 10.1016/j.esd.2018.01.006,https://www.researchgate.net/publication/323219729_Performance_evaluation_of_a_rooftop_solar_photovoltaic_power_plant_in_Northern_India,India,,,1  - Peer Reviewed,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Maximum range for rooftop in India,
"IEA, (2018), Capacity Factor. IEA,(2018). World Energy Outlook 2018. Paris: International Energy Agency. p-528",https://webstore.iea.org/world-energy-outlook-2018,USA,,,2 - Public Sector/ Multilateral Agency,2017,,,Capacity factor (%),0.0,TWh/TW/year,,,
"IEA, (2018), Capacity Factor. IEA,(2018). World Energy Outlook 2018. Paris: International Energy Agency. p-528",https://webstore.iea.org/world-energy-outlook-2019,EU,,,2 - Public Sector/ Multilateral Agency,2017,,,Capacity factor (%),0.0,TWh/TW/year,,,
"IEA, (2018), Capacity Factor. IEA,(2018). World Energy Outlook 2018. Paris: International Energy Agency. p-528",https://webstore.iea.org/world-energy-outlook-2020,China,,,2 - Public Sector/ Multilateral Agency,2017,,,Capacity factor (%),0.0,TWh/TW/year,,,
"IEA, (2018), Capacity Factor. IEA,(2018). World Energy Outlook 2018. Paris: International Energy Agency. p-528",https://webstore.iea.org/world-energy-outlook-2021,India,,,2 - Public Sector/ Multilateral Agency,2017,,,Capacity factor (%),0.0,TWh/TW/year,,,
"REN21.(2018). Min/Max Regional Capacity Factor. REN21. (2018). Renewables 2018 : Global Status Report. Paris, p-121. ",http://www.ren21.net/wp-content/uploads/2018/06/17-8652_GSR2018_FullReport_web_final_.pdf,World,Africa,,2 - Public Sector/ Multilateral Agency,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Minimum for the region,
"REN21.(2018). Min/Max Regional Capacity Factor. REN21. (2018). Renewables 2018 : Global Status Report. Paris, p-121. ",http://www.ren21.net/wp-content/uploads/2018/06/17-8652_GSR2018_FullReport_web_final_.pdf,World,Africa,,2 - Public Sector/ Multilateral Agency,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Maximum for the region,
"REN21.(2018). Min/Max Regional Capacity Factor. REN21. (2018). Renewables 2018 : Global Status Report. Paris, p-121. ",http://www.ren21.net/wp-content/uploads/2018/06/17-8652_GSR2018_FullReport_web_final_.pdf,World, Asia ,,2 - Public Sector/ Multilateral Agency,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Minimum for the region,
